,completeness,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g
939,0.275,150.0,628.0,8.3333333333333,5.0,3.3333333333333,3.3333333333333,16.666666666667,0.79166666666667,0.316666666666668
940,0.275,66.666666666667,279.0,2.0833333333333,1.4583333333333,8.75,8.75,3.3333333333333,0.125,0.05
941,0.275,714.28571428571,2989.0,78.571428571429,50.0,0.0,0.0,0.0,0.0,0.0
942,0.275,45.833333333333,192.0,1.25,0.83333333333333,5.0,5.0,3.3333333333333,0.109375,0.04375
943,0.275,79.166666666667,331.0,1.25,0.83333333333333,13.333333333333,12.5,3.3333333333333,0.11979166666667,0.047916666666668
944,0.275,269.23076923077,1126.0,5.7692307692308,2.8846153846154,38.461538461538,38.461538461538,15.384615384615,0.48076923076922,0.192307692307688
945,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,0.275,95.0,397.0,4.0,3.0,6.5,2.5,8.0,0.575,0.23
947,0.275,70.588235294118,295.0,3.5294117647059,2.0588235294118,7.0588235294118,5.2941176470588,3.5294117647059,0.13970588235294,0.055882352941176
948,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,0.375,116.66666666667,488.0,3.3333333333333,1.6666666666667,3.3333333333333,3.3333333333333,16.666666666667,0.79166666666667,0.316666666666668
950,0.275,488.0,2042.0,26.60000038147,15.5,55.799999237061,38.400001525879,5.1999998092651,0.58999997377396,0.235999989509584
951,0.275,36.619718309859,153.0,0.0,0.0,8.7323943661972,8.7323943661972,0.0,0.0,0.0
952,0.375,253.52112676056,1061.0,19.718309859155,8.4507042253521,0.0,0.0,18.30985915493,0.12323943661972,0.049295774647888
953,0.2,232.142857142857,971.0,10.7142857142857,3.75,0.0,0.0,32.1428571428571,0.0,0.0
954,0.375,169.64285714286,710.0,9.8214285714286,4.0178571428571,0.0,0.0,19.642857142857,0.16741071428572,0.066964285714288
955,0.275,419.0,1753.0,6.0,0.0,91.2,91.2,0.0,0.0,0.0
956,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,0.3,300.0,1255.0,0.555999994277954,0.0,69.0,0.0,3.0,0.0,0.0
958,0.375,750.0,3138.0,75.0,6.8181818181818,0.0,0.0,15.909090909091,0.11363636363636,0.045454545454544
959,0.5,857.0,3586.0,100.0,7.14,0.0,0.0,0.0,0.0,0.0
960,0.275,0.14084507042254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,0.475,656.25,2746.0,53.125,4.6875,18.75,6.25,21.875,0.0,0.0
962,0.45,643.0,2690.0,71.43,10.71,0.0,0.0,0.0,1.785,0.714
963,0.5,571.0,2389.0,57.14,10.71,0.0,0.0,0.0,1.34,0.536
964,0.2625,266.666666666667,1116.0,33.3333333333333,0.0,10.0,0.0,66.6666666666667,0.0,0.0
965,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966,0.275,380.95238095238,1594.0,4.7619047619048,2.3809523809524,40.47619047619,14.285714285714,40.47619047619,1.0714285714286,0.42857142857144
967,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,0.375,362.1,1515.0,10.3,9.0,60.9,56.5,5.0,0.0,0.0
969,0.2,26.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970,0.2,32.0,134.0,0.8,0.5,5.2,1.5,0.7,0.71,0.284
971,0.2,20.0,84.0,0.4,0.1,3.1,0.5,0.6,0.86,0.344
972,0.2,26.0,109.0,0.4,0.2,4.5,1.7,0.7,0.7,0.28
973,0.1,41.0,172.0,1.9,0.5,4.6,1.1,0.8,0.69,0.276
974,0.2,30.0,126.0,1.0,0.6,4.1,1.6,0.6,0.67,0.268
975,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
